Category;Statistic;"WIDZEW LODZ";"POLONIA WARSZAWA"
Summary;Goals;0;1
Summary;Possessions;41%;59%
Summary;"Shots in total";4;9
Summary;Fouls;10;3
Summary;Offsides;1;0
Summary;"Free kicks";2;11
Summary;Corners;5;4
Summary;"Average player game rating";6.87;7.17
Offensive;"Shots in total";4;9
Offensive;"Shots on target";2;1
Offensive;"Shots off target";1;4
Offensive;"Shots blocked";1;4
Offensive;"Shots inside PA";4;8
Offensive;"Shots outside PA";0;1
Offensive;"Successful take ons";3;5
Offensive;"All take ons";4;7
Offensive;"Shot Conversion Rate";0%;11%
Defensive;"Successful tackles";22;11
Defensive;"All tackles";34;17
Defensive;"Aerial duels";10;10
Defensive;Interceptions;11;7
Defensive;Clearances;22;14
Defensive;Recoveries;47;56
Defensive;Blocks;12;5
Defensive;Mistakes;4;3
Defensive;"Won fouls";3;10
Defensive;"Second Ball Won";44%;56%
Distribution;"Successful passes";66;159
Distribution;Passes;123;217
Distribution;"Pass accuracy";54%;73%
Distribution;"Key passes";3;6
Distribution;"Successful passes in final third";16;43
Distribution;"All passes in final third";27;71
Distribution;"Successful passes in middle third";24;71
Distribution;"All passes in middle third";45;92
Distribution;"Successful passes in defensive third";26;45
Distribution;"All passes in defensive third";51;54
Distribution;"Successful long passes";13;8
Distribution;"All long passes";31;27
Distribution;"Successful medium range passes";22;56
Distribution;"All medium range passes";38;70
Distribution;"Successful short passes";31;95
Distribution;"All short passes";54;120
Distribution;"Successful forward passes";25;57
Distribution;"All forward passes";67;90
Distribution;"Successful sideways passes";28;69
Distribution;"All sideways passes";39;89
Distribution;"Successful backward passes";13;33
Distribution;"All backward passes";17;38
Distribution;"Successful crosses";1;2
Distribution;"All crosses";5;6
Distribution;"Field Tilt";28%;72%
