Category;Statistic;"AKS SMS LODZ";"MKS POLONIA WARSZAWA"
Summary;Goals;0;0
Summary;Possessions;45%;55%
Summary;"Shots in total";5;10
Summary;Fouls;5;7
Summary;Offsides;1;0
Summary;"Free kicks";7;6
Summary;Corners;3;4
Summary;"Average player game rating";6.5;5.93
Offensive;"Shots in total";5;10
Offensive;"Shots on target";2;2
Offensive;"Shots off target";2;3
Offensive;"Shots blocked";1;5
Offensive;"Shots inside PA";3;5
Offensive;"Shots outside PA";2;5
Offensive;"Successful take ons";4;6
Offensive;"All take ons";4;6
Offensive;"Shot Conversion Rate";0%;0%
Defensive;"Successful tackles";5;9
Defensive;"All tackles";11;13
Defensive;"Aerial duels";2;2
Defensive;Interceptions;4;2
Defensive;Clearances;16;13
Defensive;Recoveries;50;49
Defensive;Blocks;6;1
Defensive;Mistakes;0;0
Defensive;"Won fouls";7;5
Defensive;"Second Ball Won";100%;0%
Distribution;"Successful passes";117;162
Distribution;Passes;169;212
Distribution;"Pass accuracy";69%;76%
Distribution;"Key passes";4;9
Distribution;"Successful passes in final third";23;28
Distribution;"All passes in final third";42;47
Distribution;"Successful passes in middle third";47;70
Distribution;"All passes in middle third";61;81
Distribution;"Successful passes in defensive third";47;64
Distribution;"All passes in defensive third";66;84
Distribution;"Successful long passes";14;20
Distribution;"All long passes";34;37
Distribution;"Successful medium range passes";57;75
Distribution;"All medium range passes";74;91
Distribution;"Successful short passes";46;67
Distribution;"All short passes";61;84
Distribution;"Successful forward passes";50;63
Distribution;"All forward passes";80;92
Distribution;"Successful sideways passes";38;68
Distribution;"All sideways passes";53;86
Distribution;"Successful backward passes";29;31
Distribution;"All backward passes";36;34
Distribution;"Successful crosses";0;4
Distribution;"All crosses";7;12
Distribution;"Field Tilt";47%;53%
