Category;Statistic;"MKS POLONIA WARSZAWA";"INDUSTRIA KORONA KIELCE"
Summary;Goals;1;0
Summary;Possessions;46%;54%
Summary;"Shots in total";12;12
Summary;Fouls;8;8
Summary;Offsides;1;0
Summary;"Free kicks";7;8
Summary;Corners;1;3
Summary;"Average player game rating";7.51;7.57
Offensive;"Shots in total";12;12
Offensive;"Shots on target";5;4
Offensive;"Shots off target";5;4
Offensive;"Shots blocked";2;4
Offensive;"Shots inside PA";9;5
Offensive;"Shots outside PA";3;7
Offensive;"Successful take ons";14;7
Offensive;"All take ons";18;10
Offensive;"Shot Conversion Rate";8%;0%
Defensive;"Successful tackles";16;17
Defensive;"All tackles";29;26
Defensive;"Aerial duels";10;10
Defensive;Interceptions;12;5
Defensive;Clearances;25;10
Defensive;Recoveries;51;54
Defensive;Blocks;17;9
Defensive;Mistakes;5;6
Defensive;"Won fouls";8;8
Defensive;"Second Ball Won";25%;75%
Distribution;"Successful passes";144;213
Distribution;Passes;190;277
Distribution;"Pass accuracy";76%;77%
Distribution;"Key passes";9;8
Distribution;"Successful passes in final third";18;58
Distribution;"All passes in final third";29;88
Distribution;"Successful passes in middle third";59;86
Distribution;"All passes in middle third";72;112
Distribution;"Successful passes in defensive third";67;69
Distribution;"All passes in defensive third";89;77
Distribution;"Successful long passes";12;14
Distribution;"All long passes";30;25
Distribution;"Successful medium range passes";59;97
Distribution;"All medium range passes";76;117
Distribution;"Successful short passes";73;102
Distribution;"All short passes";84;135
Distribution;"Successful forward passes";56;72
Distribution;"All forward passes";93;115
Distribution;"Successful sideways passes";57;86
Distribution;"All sideways passes";66;100
Distribution;"Successful backward passes";31;55
Distribution;"All backward passes";31;62
Distribution;"Successful crosses";1;3
Distribution;"All crosses";5;16
Distribution;"Field Tilt";25%;75%
