Category;Statistic;"AKS SMS LODZ";"MKS POLONIA WARSZAWA"
Summary;Goals;1;1
Summary;Possessions;51%;49%
Summary;"Shots in total";12;5
Summary;Fouls;5;6
Summary;Offsides;1;0
Summary;"Free kicks";6;6
Summary;Corners;8;3
Summary;"Average player game rating";6.5;5.93
Offensive;"Shots in total";12;5
Offensive;"Shots on target";1;1
Offensive;"Shots off target";5;1
Offensive;"Shots blocked";6;3
Offensive;"Shots inside PA";7;4
Offensive;"Shots outside PA";5;1
Offensive;"Successful take ons";3;9
Offensive;"All take ons";6;9
Offensive;"Shot Conversion Rate";0%;0%
Defensive;"Successful tackles";6;6
Defensive;"All tackles";15;9
Defensive;"Aerial duels";15;15
Defensive;Interceptions;5;16
Defensive;Clearances;18;34
Defensive;Recoveries;58;55
Defensive;Blocks;3;6
Defensive;Mistakes;0;0
Defensive;"Won fouls";6;5
Defensive;"Second Ball Won";50%;50%
Distribution;"Successful passes";91;76
Distribution;Passes;159;134
Distribution;"Pass accuracy";57%;57%
Distribution;"Key passes";6;4
Distribution;"Successful passes in final third";32;15
Distribution;"All passes in final third";70;25
Distribution;"Successful passes in middle third";33;25
Distribution;"All passes in middle third";45;44
Distribution;"Successful passes in defensive third";26;36
Distribution;"All passes in defensive third";43;64
Distribution;"Successful long passes";18;11
Distribution;"All long passes";45;39
Distribution;"Successful medium range passes";41;31
Distribution;"All medium range passes";64;45
Distribution;"Successful short passes";32;34
Distribution;"All short passes";49;49
Distribution;"Successful forward passes";46;40
Distribution;"All forward passes";84;82
Distribution;"Successful sideways passes";28;26
Distribution;"All sideways passes";55;39
Distribution;"Successful backward passes";17;10
Distribution;"All backward passes";19;12
Distribution;"Successful crosses";6;3
Distribution;"All crosses";25;9
Distribution;"Field Tilt";74%;26%
