Category;Statistic;"POLONIA WARSZAWA";"MKS PODLASIE BIALA PODLASKA"
Summary;Goals;1;0
Summary;Possessions;59%;41%
Summary;"Shots in total";13;3
Summary;Fouls;5;8
Summary;Offsides;1;2
Summary;"Free kicks";9;6
Summary;Corners;2;1
Summary;"Average player game rating";6.82;6.47
Offensive;"Shots in total";13;3
Offensive;"Shots on target";4;1
Offensive;"Shots off target";5;2
Offensive;"Shots blocked";4;0
Offensive;"Shots inside PA";10;3
Offensive;"Shots outside PA";3;0
Offensive;"Successful take ons";6;0
Offensive;"All take ons";14;2
Offensive;"Shot Conversion Rate";8%;0%
Defensive;"Successful tackles";0;5
Defensive;"All tackles";0;9
Defensive;"Aerial duels";4;4
Defensive;Interceptions;1;19
Defensive;Clearances;1;8
Defensive;Recoveries;56;33
Defensive;Blocks;2;8
Defensive;Mistakes;4;3
Defensive;"Won fouls";8;5
Defensive;"Second Ball Won";75%;25%
Distribution;"Successful passes";220;107
Distribution;Passes;277;171
Distribution;"Pass accuracy";79%;63%
Distribution;"Key passes";9;2
Distribution;"Successful passes in final third";61;6
Distribution;"All passes in final third";84;11
Distribution;"Successful passes in middle third";97;33
Distribution;"All passes in middle third";117;59
Distribution;"Successful passes in defensive third";62;68
Distribution;"All passes in defensive third";76;101
Distribution;"Successful long passes";21;12
Distribution;"All long passes";40;34
Distribution;"Successful medium range passes";96;57
Distribution;"All medium range passes";117;73
Distribution;"Successful short passes";103;38
Distribution;"All short passes";120;64
Distribution;"Successful forward passes";83;35
Distribution;"All forward passes";119;90
Distribution;"Successful sideways passes";76;46
Distribution;"All sideways passes";93;54
Distribution;"Successful backward passes";61;26
Distribution;"All backward passes";65;27
Distribution;"Successful crosses";3;2
Distribution;"All crosses";4;2
Distribution;"Field Tilt";88%;12%
